Event	ID	Name			Wwise Object Path	Notes
	617139305	fireShot			\Default Work Unit\shooting trap\fireShot	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	17525699	BOOMS_02	C:\Users\Samuel\Documents\WwiseProjects\ubi_soundMaster\.cache\Windows\SFX\BOOMS_CFF377DC.wem		\Actor-Mixer Hierarchy\Default Work Unit\randomShooting sounds\boom\BOOMS_02		455576
	169864465	TRIGGERS_03	C:\Users\Samuel\Documents\WwiseProjects\ubi_soundMaster\.cache\Windows\SFX\TRIGGERS_25D6CD6B.wem		\Actor-Mixer Hierarchy\Default Work Unit\randomShooting sounds\clics\TRIGGERS_03		401988
	277631781	BOOMS_04	C:\Users\Samuel\Documents\WwiseProjects\ubi_soundMaster\.cache\Windows\SFX\BOOMS_8E0222B5.wem		\Actor-Mixer Hierarchy\Default Work Unit\randomShooting sounds\boom\BOOMS_04		381892
	303362617	TRIGGERS_04	C:\Users\Samuel\Documents\WwiseProjects\ubi_soundMaster\.cache\Windows\SFX\TRIGGERS_EF7E1067.wem		\Actor-Mixer Hierarchy\Default Work Unit\randomShooting sounds\clics\TRIGGERS_04		408688
	311508669	BOOMS	C:\Users\Samuel\Documents\WwiseProjects\ubi_soundMaster\.cache\Windows\SFX\BOOMS_FADA9D5A.wem		\Actor-Mixer Hierarchy\Default Work Unit\randomShooting sounds\boom\BOOMS		355100
	326012690	TRIGGERS_02	C:\Users\Samuel\Documents\WwiseProjects\ubi_soundMaster\.cache\Windows\SFX\TRIGGERS_AC9E47FE.wem		\Actor-Mixer Hierarchy\Default Work Unit\randomShooting sounds\clics\TRIGGERS_02		422084
	368035129	BOOMS_03	C:\Users\Samuel\Documents\WwiseProjects\ubi_soundMaster\.cache\Windows\SFX\BOOMS_C6398C55.wem		\Actor-Mixer Hierarchy\Default Work Unit\randomShooting sounds\boom\BOOMS_03		435484
	506353389	TRIGGERS	C:\Users\Samuel\Documents\WwiseProjects\ubi_soundMaster\.cache\Windows\SFX\TRIGGERS_56B4134A.wem		\Actor-Mixer Hierarchy\Default Work Unit\randomShooting sounds\clics\TRIGGERS		361796
	579381128	TRIGGERS_01	C:\Users\Samuel\Documents\WwiseProjects\ubi_soundMaster\.cache\Windows\SFX\TRIGGERS_13C9DD5A.wem		\Actor-Mixer Hierarchy\Default Work Unit\randomShooting sounds\clics\TRIGGERS_01		388588
	616569622	BOOMS_01	C:\Users\Samuel\Documents\WwiseProjects\ubi_soundMaster\.cache\Windows\SFX\BOOMS_91AE10D6.wem		\Actor-Mixer Hierarchy\Default Work Unit\randomShooting sounds\boom\BOOMS_01		415384

